title,text,tag,allTtags,link
Broken Pipe Error in Python,"In this article, we will discuss Pipe Error in python starting from how an error is occurred in python along with the type of solution needed to be followed to rectify the error in python. So, let’s go into this article to understand the concept well. With the advancement of emerging technologies in the IT sector, the use of programming language is playing a vital role. Thus the proper language is considered for the fast executions of the functions. In such a case, Python emerges as the most important language to satisfy the needs of the current problem execution because of its simplicity and availability of various libraries. But along with the execution, the errors during the execution also comes into existence and it becomes difficult for the programmers to rectify the errors for the processing of the problem.A broken Pipe Error is generally an Input/Output Error, which is occurred at the Linux System level. The error has occurred during the reading and writing of the files and it mainly occurs during the operations of the files. The same error that occurred in the Linux system is EPIPE, but every library function which returns its error code also generates a signal called SIGPIPE, this signal is used to terminate the program if it is not handled or blocked. Thus a program will never be able to see the EPIPE error unless it has handled or blocked SIGPIPE.Python interpreter is not capable enough to ignore SIGPIPE by default, instead, it converts this signal into an exception and raises an error which is known as IOError(INPUT/OUTPUT error) also know as ‘Error 32’ or Broken Pipe Error.python <filename>.py | headThis pipeline code written above will create a process that will send the data upstream and a process that reads the data downstream. But when the downstream process will not be able to read the data upstream, it will raise an exception by sending SIGPIPE signal to the upstream process. Thus upstream process in a python problem will raise an error such as IOError: Broken pipe error will occur.Example:When we run this file from unix commands:Approach 1: To avoid the error we need to make the terminal run the code efficiently without catching the SIGPIPE signal, so for these, we can add the below code at the top of the python program.Output:Explanation:The above code which is placed on the top of the python code is used to redirect the SIGPIPE signals to the default SIG_DFL signal, which the system generally ignores so that the rest part of the code can be executed seamlessly. But Approach 11 is not effective because in the Python manual on the signal library, which is mentioned that this type of signal handling should be avoided and should not be practiced in any part of the code. So for this reason we will go for the second approach.Approach 2: We can handle this type of error by using the functionality of try/catch block which is already approved by the python manual and is advised to follow such procedure to handle the errors.Example:Output:Explanation:In the above piece of code, we have used the built-in library of python which is the Sys and Errno module, and use the try/catch block in order to catch the raised SIGPIPE exception and handle it before it stops the program execution. Attention geek! Strengthen your foundations with the Python Programming Foundation Course and learn the basics.  To begin with, your interview preparations Enhance your Data Structures concepts with the Python DS Course. And to begin with your Machine Learning Journey, join the Machine Learning – Basic Level Course",python,"['Python-exceptions', 'Python']",https://www.geeksforgeeks.org/broken-pipe-error-in-python/
Multithreaded crawler in Python,"In this article, we will describe how it is possible to build a simple multithreading-based crawler using Python.bs4: Beautiful Soup (bs4) is a Python library for extracting data from HTML and XML files. To install this library, type the following command in IDE/terminal.requests: This library allows you to send HTTP/1.1 requests very easily. To install this library, type the following command in IDE/terminal.Step 1: We will first import all the libraries that we need to crawl. If you’re using Python3, you should already have all the libraries except BeautifulSoup, requests. So if you haven’t installed these two libraries yet, you’ll need to install them using the commands specified above.Step 2: Create a main program and then create an object of class MultiThreadedCrawler and pass the seed URL to its parameterized constructor, and call run_web_scrawler() method.Step 3: Create a class named MultiThreadedCrawler. And initialize all the variables in the constructor, assign base URL to the instance variable named seed_url. And then format the base URL into absolute URL, using schemes as HTTPS and net location.To execute the crawl frontier task concurrently use multithreading in python. Create an object of ThreadPoolExecutor class and set max workers as 5 i.e To execute 5 threads at a time. And to avoid duplicate visits to web pages, In order to maintain the history create a set data structure.Create a queue to store all the URLs of crawl frontier and put the first item as a seed URL.Step 4: Create a method named run_web_crawler(), to keep on adding the link to frontier and extracting the information use an infinite while loop and display the name of the currently executing process.Get the URL from crawl frontier, for lookup assign timeout as 60 seconds and check whether the current URL is already visited or not. If not visited already, Format the current  URL and add it to scraped_pages set to store in the history of visited pages and choose from a pool of threads and pass scrape page and target URL.Step 5: Using the handshaking method place the request and set default time as 3 and maximum time as 30 and once the request is successful return the result set.Step 6: Create a method named scrape_info(). And pass the webpage data into BeautifulSoap which helps us to organize and format the messy web data by fixing bad HTML and present to us in an easily-traversible structure.Using the BeautifulSoup operator extract all the text present in the HTML document.Step 7: Create a method named parse links, using BeautifulSoup operator extract all the anchor tags present in HTML document. Soup.find_all(‘a’,href=True) returns a list of items that contain all the anchor tags present in the webpage. Store all the tags in a list named anchor_Tags. For each anchor tag present in the list Aachor_Tags, Retrieve the value associated with href in the tag using Link[‘href’]. For each retrieved URL check whether it is any of the absolute URL or relative URL.If it is a Relative URL using urljoin method change it to an absolute URL using the base URL and relative URL. Check whether the current URL is already visited or not. If the URL has not been visited already, put it in the crawl queue.Step 8: For extracting the links call the method named parse_links() and pass the result. For extracting the content call the method named scrape_info() and pass the result.Below is the complete implementation:Output: Attention geek! Strengthen your foundations with the Python Programming Foundation Course and learn the basics.  To begin with, your interview preparations Enhance your Data Structures concepts with the Python DS Course. And to begin with your Machine Learning Journey, join the Machine Learning – Basic Level Course",python,"['Picked', 'Python BeautifulSoup', 'Python-multithreading', 'Python-requests', 'Python']",https://www.geeksforgeeks.org/multithreaded-crawler-in-python/
Python SQLite,"Python SQLite3 module is used to integrate the SQLite database with Python. It is a standardized Python DBI API 2.0 and provides a straightforward and simple-to-use interface for interacting with SQLite databases. There is no need to install this module separately as it comes along with Python after the 2.5x version.This Python SQLite tutorial will help to learn how to use SQLite3 with Python from basics to advance with the help of good and well-explained examples and also contains Exercises for honing your skills. Attention geek! Strengthen your foundations with the Python Programming Foundation Course and learn the basics.  To begin with, your interview preparations Enhance your Data Structures concepts with the Python DS Course. And to begin with your Machine Learning Journey, join the Machine Learning – Basic Level Course",python,['Python'],https://www.geeksforgeeks.org/python-sqlite/
Java – Lambda Expressions Parameters,"Lambda Expressions are anonymous functions. These functions do not need a name or a class to be used. Lambda expressions are added in Java 8. Lambda expressions basically express instances of functional interfaces An interface with a single abstract method is called a functional interface. One example is java.lang.Runnable.Lambda expressions implement only one abstract function and therefore implement functional interfaces. Predicate interface is an example of a functional interface that has only one abstract method called test().Illustration:The above is a functional interface that has one abstract method test receiving only one parameter of type T and returns a boolean value. This method is a generic method that takes a type parameter. This interface can be implemented anywhere in a program using a lambda expression instead of creating classes with multiple functions. For eg, to implement a runnable interface used only for multithreading one needs to implement only a run() method. Then there is the comparable interface which can be implemented using compare() method.Important points:These are for single–line lambda expressions having void return type.Type 1: No Parameter.Syntax:It takes interface of the following form:Type 2: Single Parameter.Syntax:It is not mandatory to use parentheses if the type of that variable can be inferred from the contextIt takes interface of the following form:The type and return type of the lamdas are automatically inferred.Type 3: Multi parametersIt is not mandatory to use parentheses if the type of that variable can be inferred from the contextIt takes interface of the following form:The type and return type of the lamdas are automatically inferred.Now, we are done with discussing out the theoretical concept, now let us come up with the implementation part. So here primarily we will be discussing out the codes for the above three types as discussed above:Note: forEach() method is of Iterable interface that is used to iterate through a collection. Here it takes an argument of Consumer type interface. This is a functional interface having only one abstract method called accept(). Since it is a functional interface, a lambda expression can be passed.Hence, if we do conclude out the above Example 1: Lambda expression with no parametersExample 2: Type 2 Lambda expression with a single parameterExample 3: Type 3 Lambda expression with multi parametersAttention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,"['java-lambda', 'Java']",https://www.geeksforgeeks.org/java-lambda-expressions-parameters/
XML EventWriter in Java StAX API,"Java StAX API was introduced in Java 6 and considered superior to DOM and SAX parsers. We can use Java StAX parser to read XML file and java Streaming API for XML (Java StAX) provides implementation for processing XML in java. The XMLEventWriter class in the Java StAX API allows you to write StAX XMLEvent’s either to a Writer, an OutputStream, or a Result (special JAXP object).Methods provides by XMLEventWriter to write data into it:There are certain limitations been attached with  XMLEventWriter in java StAX of which primarily are as follows:Procedure:They are as illustrated below as follows:Step 1 : Create instance of XMLEventWriter using XMLOutputFactory.Step 2: Write the header of the XML and proceed to create start elements.Step 3: After adding elements we can add attributes, namespace.Step 4: Flush and close opened elements.Step 5: Add try and catch block.Example  Output: Note: Streaming Event Writer API for XML provides a very convenient, fast, and memory-efficient way to write XML documents without worrying about details and escaping special characters. It is a great alternative to DOM especially when you don’t need to keep and manage DOM tree in memory for any reason. Attention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,['sweetyty'],https://www.geeksforgeeks.org/xml-eventwriter-in-java-stax-api/
How to Use String.matches() as a Substitute of startWith() Method in Java?,"String startsWith() as the syntax suggests this method is present in String class which is responsible for testing if a string starts with the specified prefix beginning from the first index.Syntax:Parameters: The prefix to be matched.Return Value: It returns true if the character sequence represented by the argument is a prefix of the character sequence represented by this string; false otherwise.Methods:There exist two substitutes of startWith()  as listed below:Let us discuss both methods which are as follows: Method 1: Using Regular ExpressionRegular Expressions or Regex (in short) is an API for defining String patterns that can be used for searching, manipulating, and editing a string in Java. Email validation and passwords are a few areas of strings where Regex is widely used to define the constraints. Regular Expressions are provided under java.util.regex package. This consists of 3 classes and 1 interface. The java.util.regex package primarily consists of the following three classes as depicted below in tabular format as follows:ExampleMethod 2: Using matches() method of String class String.matchs() method tells whether or not this string matches the given regular expression. An invocation of this method of the form str.matches(regex) yields exactly the same result as the expression Pattern.matches(regex, str).Syntax: Parameters: The regular expression to which this string is to be matched.Return Value: This method returns true if, and only if, this string matches the given regular expression.Example Attention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,"['sweetyty', 'gabaa406']",https://www.geeksforgeeks.org/how-to-use-string-matches-as-a-substitute-of-startwith-method-in-java/
How to Use Regular Expression as a Substitute of endsWith() Method in Java?,"So primarily discuss what is endsWith() method is, so it is a method of String class that checks whether the string ends with a specified suffix. This method returns a boolean value true or false.Syntax:Parameter: specified suffix part  Return: Boolean value, here in java we only have true and false.Methods:We can use Regular Expression / Matches as a substitute for startWith() method  in JavaMethod 1: Using Regular ExpressionRegular Expressions or Regex (in short) is an API for defining String patterns that can be used for searching, manipulating, and editing a string in Java. Email validation and passwords are a few areas of strings where Regex is widely used to define the constraints. Regular Expressions are provided under java.util.regex package. This consists of 3 classes and 1 interface. The java.util.regex package primarily consists of the following three classes as depicted below in tabular format as follows:ExampleMethod 2: Using MatchesString.matches() method tells whether or not this string matches the given regular expression. An invocation of this method of the form str.matches(regex) yields exactly the same result as the expression Pattern.matches(regex, str).Syntax:Parameters: The regular expression to which this string is to be matched.Return Value: This method returns true if, and only if, this string matches the given regular expression.ExampleAttention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,"['Blogathon-2021', 'java-regular-expression', 'Blogathon', 'How To', 'Java']",https://www.geeksforgeeks.org/how-to-use-regular-expression-as-a-substitute-of-endswith-method-in-java/
Java Program to Create Set of Pairs Using HashSet,"Problem statement: We need to find and print unique pairs among all given pairs.Generally, if we have to find the unique numbers among all given numbers then we just put all numbers in HashSet and print them. Let us consider a sample illustration to interpret the problem statement better. Suppose we have three pairs be customly they are (3, 5), (4, 5), (3, 5). Now if we put it in the set then the output will be.Note: But in the case of Pair, we can’t just write as shown below but if we try to put Pair in a set then it gives us the problem for illustration. From the example, we can clearly see that duplicate pairs are still present. This is because for the set, Pair is the same type of object and it can’t differentiate between them. So to overcome this problem we can just make a string of indexes and values of  Pairs and store it in Set in form of String and then print it and you can get all unique pairs.ExampleOutput explanation:So from the code and output, you can clearly see that duplicate pairs are deleted and we can get all unique pairs without overriding the hashCode() method and equals() method.Attention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,"['java-set', 'Java', 'Java Programs']",https://www.geeksforgeeks.org/java-program-to-create-set-of-pairs-using-hashset/
How to Create Different Packages For Different Classes in Java?,"Let us first know what is a class and package in Java. Class in java is a model for creating objects. It means that the properties and actions of the objects are written in class. Properties are represented by variables and actions of the objects are represented by methods. So, a class contains variables and methods. The same variables are also available in the objects because they are created from the class. These variables are also called ‘instance variables’  because they are created inside the object (instance).Illustration:Output: Note: Here the keyword class is used to declare a class. After this, we should write a class name. In the class, we write instance variables and methods.Packages in JavaIn Java, Packages are a collection of classes, sub-packages, and interfaces. i.e A package represents a dictionary that contains a related group of classes and interfaces. Whenever we write a statement be it as shown below we are importing all the classes of the java.io.*  package. Here, java is a directory name and io is another sub-directory within it. And the * represents all the classes and interfaces of that io subdirectory. We have many such packages, for example, java.lang, java.util, and there do exists many more inside which there do lies classes inside the package. In order to use so let us do take most frequently used packages that are ‘lang’ package for java designing and ‘io’ package for input-output operations.Let us discuss the advantages of packages in java that are as follows:There are two types of packages in java as listed:Type 1: Built-in PackagesThese are the packages that are already available in the Java language. These packages provide nearly all necessary classes, interfaces, and methods for the programmer to perform any task. They are as follows:Type 2: User-defined PackagesJust like the built-in packages shown earlier, the user of the java language can also create their own packages. They are called User Defined Packages. These packages can also be imported into other classes and used exactly in the same way as built-in packages. Syntax: Creating a package, package keyword is used2.1.1 To create a package2.1.2 To create a subpackage within a package2.2 Compile2.3 To run the programAbove syntax is valid only for windows CMD shell, fo rlinux and mac zsh shell refer to below media as perceive it the same way provided belowImplementation:Now let us divide the class into packagesStep 1: Define a class StudentData that holds the following information of a student:Note that these fields should be declared private.Step 2: Create another class StudentDataExtended with a private attribute named location. It is basically a string that stores the location of the student.Step 3: Now in this class define a method addDetails() method that stores the details of students; and a method printDetails() method that outputs the details of students in the sorted order of their id.Note: Both the classes should be in different packages Illustration:Output:Implementation:Now let us come up with real runnable examples to implement what we discussed and illustrated above:Example 1-A:Example 1-B:OUTPUT:Attention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,"['Blogathon-2021', 'Java-Packages', 'Blogathon', 'Java']",https://www.geeksforgeeks.org/how-to-create-different-packages-for-different-classes-in-java/
Limitations of synchronization and the uses of static synchronization in multithreading,"Multithreading feature of java is the feature around which the concept revolves as it allows concurrent execution of two or more parts of a program for maximum utilization of CPU. Each part of such a program is called a thread. So, threads are lightweight processes within a process where as we all know threads can be created by using two mechanisms as listed:If multiple threads access a single resource at a time then there exists a possibility of data racing or bad output. Let us understand this with the help of a story. Let us take the example of data racing in multithreading to perceive the limitations of synchronization and the uses of static synchronization. Let us lick off directly with the data racing in multithreading.Implementation:Shubham and Sharmistha was planning a date and tried to book movie tickets. Unfortunately, only 1 ticket was available. Shubham who was a genius Java programmer knew a trick and requested 1 ticket simultaneously for both of them at the same time. The naive ticket booking system assigned 2 threads and passed them through the book method. In the end of the procedure, both of them got 1 ticket each and the number of tickets left was -1!Illustration: Data racing in multithreadingOutput-Number of tickets can not be negative. To handle this problem engineers came up with the synchronization concept.Synchronization- we provide a lock to the object and declare a sensitive area(withdraw method). An object can have multiple threads but the sensitive area can only be accessed by 1 thread at a time.Illustration: Handling data racing due to multithreading using synchronization.Output-Limitations of synchronization:If we have multiple thread from 1 object than synchronization will handle the data racing or bad output. What will happen if multiple threads are assigned from multiple objects? this will again result in bad output or data racing.Illustration: Cons of synchronization when multiple threads gets assigned from multiple objects.Output-We have only 1 ticket but due to data racing both of them booked successfully! To handle this problem we need to study static synchronization.Static Synchronization- Say we have 5 objects. Each objects have multiple threads. Now the sensitive area will be accessed by 5 threads at a time!To handle this problem engineers came up with the idea of Static synchronization. We provide a lock to the class. The class will select 1 object at a time. The object in turn will choose 1 thread and pass it through the sensitive area. Illustration: Handing data racing using static synchronization.Output-Using static synchronization, we have prepared a system to prevent illegal ticket booking.Conclusion-Attention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,"['Blogathon-2021', 'Blogathon', 'Java', 'Java Programs']",https://www.geeksforgeeks.org/limitations-of-synchronization-and-the-uses-of-static-synchronization-in-multithreading/
Java Program To Perform Union of Two Linked Lists Using Priority Queue,"Given two linked lists, your task is to complete the function make union(), which returns the union of two linked lists. This union should include all the distinct elements only. The new list formed should be in non-decreasing order.Approach:There are two types of heap as we all know that is min heap and max heap Let us first visualize using min heap in order to interpret program execution how union of two linked list is carried on, so de we are having two operations as listed to visualize:Insertion: After inserting all the distinct elements of two linked lists,Removal: Removing the root until minheap is emptyRemoving the root with value 1:Removing the root with value 2:Removing the root with value 3:Removing the root with value 4:Removing the root with value 6:Removing the root with value 8:Removing the root with value 9:Hence we can conclude that in the min-heap, the smallest element will be at the root of the heap, and in the max heap, the greatest element will be at the root of the heap. While implementing the remove() function on heap, the root element will be removed. Since the output should be in increasing order, Min heap can be used. Priority Queue is used to implement min heap in java.  ExampleTime complexity: O(nlogn), Space complexity: O(n)Attention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,"['Blogathon-2021', 'java-priority-queue', 'Blogathon', 'Java', 'Java Programs']",https://www.geeksforgeeks.org/java-program-to-perform-union-of-two-linked-lists-using-priority-queue/
Turing Machine Construction (Transducers Turing Machine) in Java,"Prerequisite – Turing MachineTuring Machines can broadly be classified into two types, the Acceptors and the Transducers. Acceptor Turing Machine is an automaton used to define Turing-acceptable languages. Such a machine can be used to check whether a given string belongs to a language or not. It is defined as a 7-tuple machine.Coming to Transducers: In general, transducers are the devices used to convert one form of signal into another. The same can be told about Turing Machine Transducers.A transducer is a type of Turing Machine that is used to convert the given input into the output after the machine performs various read-writes. It doesn’t accept or reject an input but performs series of operations to obtain the output right in the same tape and halts when finished.Few examples of Turing Machine transducers are:Implementation:Now we will be proposing a Java program that was written to simulate the construction and execution performed by turing machine transducers. There are two inputs that must be given while executing it: A .txt file to define the automaton (an example for unary multiplication machine is given after the code), and a string to be entered via the console window which will be the input on tape for the automaton to execute.The .txt file’s path must be given as input. This was done so that the same program can be used for various types of machines instead of hard-coding the automaton. We just need to write a different txt file for generating a different automaton.Java was chosen specifically because of the OOP structure, using which a class was defined for State, Transition, Machine, etc, to be able to encapsulate various aspects of an entity within an object. For example, a transition is defined as a class whose members are three characters – read, write and shift which store read symbol, write a symbol, and shift direction respectively, along with the index of the next state to which the machine should transition to. The same applies to a State object, which stores a list of possible outgoing transitions.Example  The input file that defines symbols, states and transitions for Automaton for Unary multiplication: //lines starting with ‘//’ are ignored by the program while reading so that the input text can be commented//title, will be printed on consoleMACHINE FOR UNARY MULTIPLICATION//input symbols – 1’s for defining unary-number, 0 as delimiter0 1//tape symbols – other than inputsY//blank symbolB//number of states8//start state0//transitions//format – read,write,shift,next state//for state q0, 2 transitions to be read for this state21 B R 10 B R 6//state q120 0 R 21 1 R 1//state q220 0 L 51 Y R 3//state q330 0 R 31 1 R 3B 1 L 4//state q430 0 L 41 1 L 4Y Y R 2//state q540 0 L 51 1 L 5Y 1 L 5B B R 0//state q621 B R 60 B R 7//state q7 – machine halts when it reaches this state as 0 transitions are defined0 Text input for Turing Machine to copy data is given in LINK. Note: The program must be executed on local machine or on an IDE that accepts path for I/O files. Following is how the OUTPUT looks like for Unary Multiplication automaton with “1101110” as input (unary 2 * unary 3) : First part of the output, when machine starts executing on the tape. (after several iterations) After printing all the instances of tape in intervals, machine reaches final state and halts. We can see that “111111” or unary-6 was obtained for 2*3 input. With a bit of effort, the same program can be extended to also work for Acceptor-type Turing machines. Anyone interested is encouraged to improve the article. Attention reader! Don’t stop learning now. Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready. ",java,['surindertarika1234'],https://www.geeksforgeeks.org/turing-machine-construction-transducers-turing-machine-in-java/
How to Return an Array in Java?,"An array is a data structure that consists of a group of elements of the same data type such that each element of the array can be identified by a single array index or key. The elements of the array are stored in a way that the address of any of the elements can be calculated using the location of the first index of the array using a simple mathematical relation. Arrays in Java are different in implementation and usage when compared to that in C/C++ although they have many similarities as well. Here we will discuss how to return an array in java.In order to return an array in java we need to take care of the following points:Keypoint 1: Method returning the array must have the return type as an array of the same data type as that of the array being returned. The return type may be the usual Integer, Double, Character, String, or user-defined class objects as well.Keypoint 2: Access modifiers must be used accurately considering the usage of the method and the returning array. Static and non-static declarations must also be taken into consideration.Keypoint 3: There must be any variable array of the same data type or something similar at the method call to handle the array being returned. For example, an integer array returned from any method can be stored as follows.Implementation:To better understand this we can look into few different kinds of scenarios where we may be returning arrays. Here we will be considering three examples for scenarios.Case 1: Returning an integer (built-in data type) array in javaAny built-in data type’s array be integer, character, float, double all can be returned simply uses return statements keeping in mind the points listed above. ExampleCase 2: Returning an array of objects in javaThis is done exactly in a similar manner in the case of returning arrays of built-in data types.Example Case 3: Returning multidimensional arrays Multidimensional arrays in java can be said to be an array of arrays inside arrays. The simplest form can be a two-dimensional array. They have their sizes and declaration according to their sizes. Here returning of a two-dimensional array is demonstrated below that has a very similar approach to the one-dimensional arrays.Example  Attention reader! Don’t stop learning now. Get hold of all the important Java Foundation and Collections concepts with the Fundamentals of Java and Java Collections Course at a student-friendly price and become industry ready. To complete your preparation from learning a language to DS Algo and many more,  please refer Complete Interview Preparation Course.",java,"['sweetyty', 'adnanirshad158']",https://www.geeksforgeeks.org/how-to-return-an-array-in-java/
Difference between array_merge() and array_combine() functions in PHP,"array_merge() Function: The array_merge() function is used to merge two or more arrays into a single array. This function is used to merge the elements or values of two or more arrays together into a single array. The merging occurs in such a manner that the values of one array are appended at the end of the previous array. The function takes the list of arrays separated by commas as a parameter that is needed to be merged and returns a new array with merged values of arrays passed in parameter.Syntax:where, $array1, $array2, . . .  are the input arrays that need to be merged.Example: PHP program to merge two arrays.Example 2: PHP program to merge multiple arrays.array_combine() Function: The array_combine() function is used to combine two arrays and create a new array by using one array for keys and another array for values i.e. all elements of one array will be the keys of new array and all elements of the second array will be the values of this new array.Syntax:Where, array1 is the first array with keys and array2 is the second array with the values.Example: PHP program to combine arrays.Example 2:Difference Between array_merge() and array_combine() Function:array_merge() Functionarray_combine() FunctionThis function merges the two or more arrays.This array combine only two arrays.This function merges  the arrays such that all the arrays have keys and values.This function combine the one array containing keys and another array containing values.The arrays are appended at the end of the first array.The arrays are combined.array_merge() Functionarray_combine() Function",php,"['PHP-function', 'PHP-Questions', 'Picked', 'Difference Between', 'PHP', 'Web Technologies']",https://www.geeksforgeeks.org/difference-between-array_merge-and-array_combine-functions-in-php/
Online FIR Web App using PHP with MySQL,"In this article, we are going to build an Online FIR Web Application using PHP with MySQL. In this application, we can file cases from anywhere by their name, complaint, status (pending or solved), and date of incidence, date of registration. Only the admin can view, delete and update status. A complete list of all cases can be seen by only the admin.  Prerequisites: XAMPP Server, Basic Concepts of  HTML, CSS, Bootstrap, PHP, and MySQLWe will follow the following steps to build this application.Features of website:  Step 1: First, we must have to start the XAMPP server from the XAMPP control panel.Open XAMPP Control Panel and start Apache and MySQL services. In the XAMPP folder, go to htdocs folder and create a folder named OnlineFIR. We will keep all the files in the project folder. There are many files inside this folder but the main functioning files are login.php, connect.php, register.php, index.php, registerfir.php,status.php.Step 2: Create DatabaseGo to localhost/phpMyAdmin and create a database called fir_info. Under that, make three tables called fir, login, register.  Step 3: Open the editor of your choice. Create a file named connect.php for the database fir_info connection. The connection object is returned to the $conn variable.  Step 4: Create another file index.php. This page contains the hyperlink of all other pages such as status.php, login.php, gallery.php, aboutus.php. On clicking on these links user can perform actions.Output:index pageStep 5: Create another file named “register.php” and add the code.This page is created to insert the user’s information to the “register” table in the “fir_info” database. The HTML form contains the fields like firstname, lastname, username, email, gender, dob, mobileno, password, repeatpassword for the user entry. When a button is clicked, we include the file “connect.php” to connect the page with the database.When the information is entered successfully in the “register” table, the user has to log in himself on going “sign-in“, a login page will appear and the page will move to “login.php”.register.phpOutput:Create register database table for creating the register database table.After inserting the query, the following output can be seen in the database.The register table contains 10 fields as shown in the picture given below.Step 6: Create another file named login.php. Users have to log in by entering their username and password. On clicking the “Log in” button, the user is reached on the “registerfir” page.login.phpOutput:Create a login database table for creating the login database table.After inserting this query the following output can be seen in the database.The login table contains 3 fields as shown in the picture given below.Step 6: Create another file named registerfir.php and add the following code.Now user can file a case of any category such as lost and found, fraud, domestic violence, others, etc.  Now the user has to go on the “status” button which is available on the “index.php” page.registerfir.phpOutput:Create fir table for creating the fir database table.The following output is seen in the database.The fir table contains 15 fields as shown in the picture given below.Step 7:  Create another file named status.php and code the following lines.By clicking on the status button, users have to enter their FIR number on the search bar to see their case status (solved or pending or other information).status.phpOutput:After Login, the database looks like the following output.After complaint FIR, the database looks like the following.Output: To run the output you have to enter “localhost/onlineFIR/“ in the URL bar of the browser.GitHub Link: https://github.com/bhartik021/onlineFIRAttention reader! Don’t stop learning now. Get hold of all the important HTML concepts with the Web Design for Beginners | HTML  course.",php,"['Blogathon-2021', 'CSS-Properties', 'HTML-Questions', 'PHP-MySQL', 'PHP-Questions', 'Blogathon', 'CSS', 'HTML', 'PHP', 'Web Technologies']",https://www.geeksforgeeks.org/online-fir-web-app-using-php-with-mysql/
How to do syntax checking using PHP ?,"Syntax checking is one of the most important tasks in programming. Our compiler checks our code and shows relevant errors if there is any in the code i.e. compile time, run time, syntax, etc. We can do the same thing i.e. syntax checking in PHP.In this article, we are going to learn how we can do syntax checking in PHP. The syntax is basically a set of rules that defines the structure of a programming language. We can not manually change the syntax and we have to follow the rules of the language.Syntax:We can use –syntax-check in place of -ln, it is more readable.It returns “No syntax errors detected in <filename>” if the provided PHP file has no syntax errors and passed the syntax check. Otherwise, it returns “Errors parsing <filename>” if there is a syntax error in the PHP file.The “-l” or  “–syntax-check” argument performs a syntax check on the given PHP file.Example 1: The following PHP Code is without Syntax error. It finds the sum of two numbers.Command for syntax checking:Output:No Syntax ErrorExample 2: In the above code, we simply replaced the “Sum: “, $z; with  “Sum:, $z; then it throwing a syntax error.Command to do syntax checking:Output:Syntax Error",php,"['Blogathon-2021', 'PHP-Questions', 'Picked', 'Blogathon', 'PHP', 'Web Technologies']",https://www.geeksforgeeks.org/how-to-do-syntax-checking-using-php/
